Name,Country,Latitude,Longitude
Kunene,Namibia,19.4086,13.9144
Omusati,Namibia,18.4070,14.8455
Oshana,Namibia,18.4305,15.6882
Ohangwena,Namibia,17.5979,16.8178
Oshikoto,Namibia,18.4153,16.9123
Kavango West,Namibia,18.2710,18.4276
Kavango East,Namibia,-18.3333,20.5833
Zambezi,Namibia,17.8193,23.9536
Erongo,Namibia,22.2566,15.4068
Otjozondjupa,Namibia,20.5487,17.6689
Omaheke,Namibia,21.8467,19.188
Khomas,Namibia,22.6378,17.1012
Hardap,Namibia,24.5333,17.9333
Karas,Namibia,26.8430,17.2903
