Name,Country,Latitude,Longitude,Language
Abia,Nigeria,5.454095299,7.5153071,en
Adamawa,Nigeria,9.512977199,12.3881887,en
Akwa Ibom,Nigeria,4.9408638,7.8412267,en
Anambra,Nigeria,6.218313599,6.9531842,en
Bauchi,Nigeria,10.6228284,10.0287754,en
Bayelsa,Nigeria,4.7629786,6.028898,en
Benue,Nigeria,7.350574699,8.7772877,en
Borno,Nigeria,12.1875392,13.3080034,en
Cross River,Nigeria,5.867196599,8.5204774,en
Delta,Nigeria,5.527306099,6.1784167,en
Ebonyi,Nigeria,6.199691799,8.0348906,en
Edo,Nigeria,6.607657499,5.9722713,en
Ekiti,Nigeria,7.736890999,5.2738326,en
Enugu,Nigeria,6.553609399,7.4143061,en
Federal Capital Territory,Nigeria,8.831122799,7.1724673,en
Gombe,Nigeria,10.38301,11.206567,en
Imo,Nigeria,5.585945599,7.0669651,en
Jigawa,Nigeria,12.3252362,9.5103296,en
Kaduna,Nigeria,10.3825318,7.8533226,en
Kano,Nigeria,11.8948389,8.5364136,en
Katsina,Nigeria,12.5630825,7.6207063,en
Kebbi,Nigeria,11.4167574,4.1074545,en
Kogi,Nigeria,7.794960199,6.6868669,en
Kwara,Nigeria,8.836789099,4.6688487,en
Lagos,Nigeria,6.526903299,3.5774005,en
Nasarawa,Nigeria,8.438786799,8.2382849,en
Niger,Nigeria,9.932608299,5.6511088,en
Ogun,Nigeria,6.978858199,3.4389293,en
Ondo,Nigeria,7.020968599,5.0567477,en
Osun,Nigeria,7.548404699,4.4978307,en
Oyo,Nigeria,8.215124899,3.5642897,en
Plateau,Nigeria,9.058344599,9.6826289,en
Rivers,Nigeria,4.8416028,6.8604088,en
Sokoto,Nigeria,13.0611195,5.3152203,en
Taraba,Nigeria,8.014133399,10.7376336,en
Yobe,Nigeria,12.1233242,11.5065937,en
Zamfara,Nigeria,12.0078998,6.4191432,en
