Name,Latitude,Longitude,y_proj,x_proj
Abidjan,5.42029540,-4.06497607,13553649.67204480,-963210.36823136
Gbôclé,5.27131983,-5.97294753,13479054.11986185,-1410271.49148692
Nawa,5.85738746,-6.66304439,13599220.74413391,-1588649.44606191
San pedro,5.02486875,-7.03156697,13393116.61091390,-1651958.59996244
Indenie djuablin,6.70100597,-3.42233841,13869881.48078310,-829449.58019494
Sud Comoe,5.49245005,-3.20186897,13583680.73503540,-759890.13883089
Folon,10.10276734,-7.39964205,14625605.79401218,-1899441.62390201
Kabadougou,9.41123697,-7.38807084,14449112.03321660,-1873552.98802778
Gôh,6.22131337,-5.86371478,13706752.14632495,-1407682.48093594
Lôh-djiboua,5.74370246,-5.40568645,13603828.19389095,-1287302.59368249
Belier,6.91786709,-5.03206368,13893618.63018782,-1223369.12417989
Iffou,7.47719746,-4.05961001,14049038.99790438,-997093.54615639
Moronou,6.59840612,-4.23525329,13831923.48674430,-1024309.83848263
N'Zi,6.97405204,-4.55604076,13916953.60488696,-1108985.48875423
Agneby Tiassa,5.93557231,-4.52857120,13667567.18252539,-1082518.83886003
Grands Ponts,5.36619137,-4.75315715,13528350.76070974,-1124869.86071850
La Me,6.02906695,-3.76324828,13703123.10220066,-901332.31885561
Cavally,6.33397782,-7.68215668,13682040.91605847,-1845545.87614222
Guemon,7.00933048,-7.31830559,13855875.23978195,-1779478.23831515
Tonkpi,7.46494100,-7.82236443,13950329.26121299,-1916505.15011452
Haut Sassandra,7.02249900,-6.60260136,13880214.48865934,-1606634.24431235
Marahoue,7.10996595,-5.89333900,13920294.70405290,-1436886.93554767
Bagoue,9.86139281,-6.47264384,14592276.07165096,-1655522.63498642
Poro,9.41244169,-5.83309422,14494939.00701721,-1480801.41480689
Tchologo,9.50509080,-4.81985728,14542523.39365801,-1226245.56847122
Gbêke,7.69439702,-5.18699343,14080092.38002696,-1278166.09433219
Hambol,8.52511289,-4.83822122,14294073.95049052,-1209910.08196180
Bafing,8.38222967,-7.62139626,14182896.39687295,-1897793.36877404
Bere,8.36297904,-6.03620404,14225167.67961759,-1504213.86665432
Worodougou,8.37221140,-6.76035235,14207319.20965606,-1684150.07049415
Yamoussoukro,6.86233207,-5.26873731,13874983.13701709,-1279507.80100396
Bounkani,9.17199815,-3.44774666,14482697.29305635,-872542.92258956
Gontougo,7.99545737,-3.21286849,14190342.50534110,-796560.43349484
