Scope Number,Sectoral Scope
1,Energy industries (renewable - / non-renewable sources)
2,Energy distribution
3,Energy demand
4,Manufacturing industries
5,Chemical industries
6,Construction
7,Transport
8,Mining/mineral production
9,Metal production
10,"Fugitive emissions from fuels (solid, oil and gas)"
11,Fugitive emissions from production and consumption of halocarbons and sulphur hexafluoride
12,Solvent use
13,Waste handling and disposal
14,Afforestation and reforestation
15,Agriculture
